#cache, OPT, LRU, FIFO, RAND, CLOCK
0, 0, 0, 0, 0, 0
5,35.15,16.59,16.48,16.12,16.65
10,53.26,31.68,30.55,30.7,32.45
15,64.66,45.94,42.61,42.56,47.59
20,72.18,58.39,52.5,53.39,60.87
25,76.31,69.18,60.09,60.15,71.74
30,77.62,76.24,66.59,66.9,78.7
35,78.84,81.25,71.05,71.51,82.43
40,79.48,84.1,74.99,75.43,84.3
45,79.85,85.7,78.34,77.96,85.87
50,80.26,87.17,81.14,80.89,87.03
55,80.56,88.43,83.51,83.44,88.37
60,80.78,89.7,85.47,85.82,89.56
65,81.06,91.06,87.7,87.13,90.85
70,81.28,92.1,89.45,89.18,92.17
75,81.42,93.32,91.23,91.21,93.21
80,81.52,94.43,93.01,92.01,94.49
85,81.6,95.65,94.65,94.13,95.66
90,81.65,96.83,96.31,94.86,96.85
95,81.66,98.02,97.63,95.92,97.96
100,81.67,99,99.01,96.6,99.01
