#cache, OPT, LRU, FIFO, RAND, CLOCK
0, 0, 0, 0, 0, 0
5,8.15,0.01,0.01,0.02,0
10,18.3,0.01,0.01,0.58,0
15,28.45,0.01,0.01,3.93,0
20,38.6,0.01,0.01,10.17,0
25,48.75,0.01,0.01,20.07,0
30,58.9,0.01,0.01,32.52,0
35,69.05,0.01,0.01,46.45,0
40,79.2,0.01,0.01,62.01,0
45,89.35,0.01,0.01,79.78,0
50,99.5,99.51,99.51,97.54,99.5
55,99.5,99.51,99.51,98.87,99.5
60,99.5,99.51,99.51,98.76,99.5
65,99.5,99.51,99.51,99.19,99.5
70,99.5,99.51,99.51,99.2,99.5
75,99.5,99.51,99.51,99.2,99.5
80,99.5,99.51,99.51,99.25,99.5
85,99.5,99.51,99.51,99.34,99.5
90,99.5,99.51,99.51,99.36,99.5
95,99.5,99.51,99.51,99.32,99.5
100,99.5,99.51,99.51,99.37,99.5
