#cache, OPT, LRU, FIFO, RAND, CLOCK
0, 0, 0, 0, 0, 0
5,21.55,4.97,4.96,4.92,4.98
10,34.06,10.29,10.23,10.11,10.34
15,42.98,15.28,15.19,15.35,15.21
20,50.26,20.34,20.54,20.48,20.48
25,56.28,25.45,25.29,25.47,25.57
30,61.51,30.7,30.13,30.36,30.65
35,66.19,35.71,35.49,34.85,35.87
40,70.29,40.71,40.54,40.35,40.77
45,73.85,45.55,45.87,45.59,45.97
50,76.95,50.66,50.73,50.14,50.71
55,79.57,55.61,55.43,55.25,55.4
60,81.82,60.3,60.39,59.14,59.86
65,83.69,65.15,65.48,64.87,64.69
70,85.02,69.82,69.9,68.97,69.76
75,86.16,74.79,75.28,74.49,74.93
80,87.14,79.53,79.24,78.86,79.72
85,87.57,84.27,83.96,84.26,84.05
90,87.57,89.03,89.42,88.32,89.44
95,87.57,94.23,93.58,92.11,94.11
100,87.57,99,99.01,95.65,99.01
